Тип работ;Наименование работы;Цена;Единица измерения
Работы по укладке плитки;Запил (угол 45 градусов);1000;руб./пог.м
Работы по укладке плитки;Укладка МОЗАИЧНОЙ плитки на пол;2000;руб./м2
Работы по укладке плитки;Укладка фасадной клинкерной плитки;2000;руб./м2
Работы по укладке плитки;Укладка керамического бордюра;500;руб./м2
Работы по укладке плитки;Укладка керамогранита (дикого камня) на пол;1500;руб./м2
Работы по укладке плитки;Укладка плиточного порожка;1000;руб./м2
Работы по укладке плитки;Мелкие элементы;500;руб./пог. м
Работы по укладке плитки;Фартук на кухню;2500;руб.м2
Работы по укладке плитки;Фигурная резка плитки;1100;руб./м2
Дополнительные работы (плитка);выезд специалиста (по городу);500;руб.
Дополнительные работы (плитка);выезд специалиста (за город);40;руб./км
Дополнительные работы (плитка);вынос мусора с объекта к подъезду;1000;руб.
